PERMNO,date,PRC
52919,20050103,59.18000
52919,20050104,58.30000
52919,20050105,58.09000
52919,20050106,58.66000
52919,20050107,58.49000
52919,20050110,58.21000
52919,20050111,57.80000
52919,20050112,58.05000
52919,20050113,57.62000
52919,20050114,58.57000
52919,20050118,59.00000
52919,20050119,58.46000
52919,20050120,57.88000
52919,20050121,56.94000
52919,20050124,56.80000
52919,20050125,57.99000
52919,20050126,58.61000
52919,20050127,58.49000
52919,20050128,58.81000
52919,20050131,60.07000
52919,20050201,60.57000
52919,20050202,60.26000
52919,20050203,59.44000
52919,20050204,60.69000
52919,20050207,60.43000
52919,20050208,60.43000
52919,20050209,60.08000
52919,20050210,60.19000
52919,20050211,60.35000
52919,20050214,60.41000
52919,20050215,60.44000
52919,20050216,60.27000
52919,20050217,59.97000
52919,20050218,58.86000
52919,20050222,57.96000
52919,20050223,58.38000
52919,20050224,58.49000
52919,20050225,59.33000
52919,20050228,58.58000
52919,20050301,59.93000
52919,20050302,59.91000
52919,20050303,60.06000
52919,20050304,61.55000
52919,20050307,61.19000
52919,20050308,61.27000
52919,20050309,60.64000
52919,20050310,61.05000
52919,20050311,60.02000
52919,20050314,60.39000
52919,20050315,60.00000
52919,20050316,59.40000
52919,20050317,59.02000
52919,20050318,59.56000
52919,20050321,59.39000
52919,20050322,58.64000
52919,20050323,57.09000
52919,20050324,57.01000
52919,20050328,56.96000
52919,20050329,56.33000
52919,20050330,56.99000
52919,20050331,56.60000
52919,20050401,55.95000
52919,20050404,55.91000
52919,20050405,56.15000
52919,20050406,56.55000
52919,20050407,56.96000
52919,20050408,56.50000
52919,20050411,55.97000
52919,20050412,55.85000
52919,20050413,55.30000
52919,20050414,53.94000
52919,20050415,53.09000
52919,20050418,53.24000
52919,20050419,54.04000
52919,20050420,52.48000
52919,20050421,53.45000
52919,20050422,53.18000
52919,20050425,53.88000
52919,20050426,53.50000
52919,20050427,54.50000
52919,20050428,53.45000
52919,20050429,53.93000
52919,20050502,53.08000
52919,20050503,52.80000
52919,20050504,54.54000
52919,20050505,54.28000
52919,20050506,54.05000
52919,20050509,54.86000
52919,20050510,53.46000
52919,20050511,54.12000
52919,20050512,53.46000
52919,20050513,52.68000
52919,20050516,53.86000
52919,20050517,54.07000
52919,20050518,54.98000
52919,20050519,55.02000
52919,20050520,55.13000
52919,20050523,55.15000
52919,20050524,54.41000
52919,20050525,54.06000
52919,20050526,54.50000
52919,20050527,54.53000
52919,20050531,54.26000
52919,20050601,55.16000
52919,20050602,54.77000
52919,20050603,54.15000
52919,20050606,54.65000
52919,20050607,54.89000
52919,20050608,55.48000
52919,20050609,55.84000
52919,20050610,55.75000
52919,20050613,55.20000
52919,20050614,55.24000
52919,20050615,55.37000
52919,20050616,55.87000
52919,20050617,55.84000
52919,20050620,55.19000
52919,20050621,54.86000
52919,20050622,55.21000
52919,20050623,54.98000
52919,20050624,55.01000
52919,20050627,54.91000
52919,20050628,55.57000
52919,20050629,55.66000
52919,20050630,55.01000
52919,20050701,55.05000
52919,20050705,55.71000
52919,20050706,55.34000
52919,20050707,55.60000
52919,20050708,56.49000
52919,20050711,56.60000
52919,20050712,56.83000
52919,20050713,57.45000
52919,20050714,57.74000
52919,20050715,57.61000
52919,20050718,56.67000
52919,20050719,57.98000
52919,20050720,58.98000
52919,20050721,58.89000
52919,20050722,59.56000
52919,20050725,59.13000
52919,20050726,59.32000
52919,20050727,59.10000
52919,20050728,59.38000
52919,20050729,58.78000
52919,20050801,58.63000
52919,20050802,59.15000
52919,20050803,59.05000
52919,20050804,58.50000
52919,20050805,57.73000
52919,20050808,57.93000
52919,20050809,58.30000
52919,20050810,58.38000
52919,20050811,58.88000
52919,20050812,58.32000
52919,20050815,58.74000
52919,20050816,58.20000
52919,20050817,57.50000
52919,20050818,57.97000
52919,20050819,58.35000
52919,20050822,58.30000
52919,20050823,58.20000
52919,20050824,57.14000
52919,20050825,57.31000
52919,20050826,57.11000
52919,20050829,57.46000
52919,20050830,57.01000
52919,20050831,57.16000
52919,20050901,58.26000
52919,20050902,58.32000
52919,20050906,59.23000
52919,20050907,58.93000
52919,20050908,58.94000
52919,20050909,59.71000
52919,20050912,60.00000
52919,20050913,59.78000
52919,20050914,60.03000
52919,20050915,59.74000
52919,20050916,60.43000
52919,20050919,60.17000
52919,20050920,60.82000
52919,20050921,59.69000
52919,20050922,59.95000
52919,20050923,59.65000
52919,20050926,59.48000
52919,20050927,59.40000
52919,20050928,60.07000
52919,20050929,61.31000
52919,20050930,61.35000
52919,20051003,62.19000
52919,20051004,61.36000
52919,20051005,60.91000
52919,20051006,61.31000
52919,20051007,61.63000
52919,20051010,61.06000
52919,20051011,60.25000
52919,20051012,59.65000
52919,20051013,59.93000
52919,20051014,60.36000
52919,20051017,61.09000
52919,20051018,61.21000
52919,20051019,62.45000
52919,20051020,61.66000
52919,20051021,61.92000
52919,20051024,63.40000
52919,20051025,63.06000
52919,20051026,63.48000
52919,20051027,62.60000
52919,20051028,64.36000
52919,20051031,64.74000
52919,20051101,64.44000
52919,20051102,65.00000
52919,20051103,65.05000
52919,20051104,65.32000
52919,20051107,65.80000
52919,20051108,65.85000
52919,20051109,65.69000
52919,20051110,66.71000
52919,20051111,66.91000
52919,20051114,66.62000
52919,20051115,66.12000
52919,20051116,65.70000
52919,20051117,66.83000
52919,20051118,67.26000
52919,20051121,67.40000
52919,20051122,67.79000
52919,20051123,68.61000
52919,20051125,68.54000
52919,20051128,67.36000
52919,20051129,67.52000
52919,20051130,66.42000
52919,20051201,67.71000
52919,20051202,68.41000
52919,20051205,68.42000
52919,20051206,67.85000
52919,20051207,67.50000
52919,20051208,67.25000
52919,20051209,67.55000
52919,20051212,67.75000
52919,20051213,68.56000
52919,20051214,68.28000
52919,20051215,67.96000
52919,20051216,68.81000
52919,20051219,68.26000
52919,20051220,68.78000
52919,20051221,68.22000
52919,20051222,69.02000
52919,20051223,68.79000
52919,20051227,68.02000
52919,20051228,68.31000
52919,20051229,67.95000
52919,20051230,67.73000
52919,20060103,68.46000
52919,20060104,68.34000
52919,20060105,67.95000
52919,20060106,68.70000
52919,20060109,69.68000
52919,20060110,70.28000
52919,20060111,71.00000
52919,20060112,70.64000
52919,20060113,70.39000
52919,20060117,70.14000
52919,20060118,69.61000
52919,20060119,72.05000
52919,20060120,70.80000
52919,20060123,72.10000
52919,20060124,72.66000
52919,20060125,73.37000
52919,20060126,74.32000
52919,20060127,74.72000
52919,20060130,74.39000
52919,20060131,75.07000
52919,20060201,74.30000
52919,20060202,73.49000
52919,20060203,73.93000
52919,20060206,74.57000
52919,20060207,73.17000
52919,20060208,73.39000
52919,20060209,73.08000
52919,20060210,72.79000
52919,20060213,73.83000
52919,20060214,75.16000
52919,20060215,75.30000
52919,20060216,76.73000
52919,20060217,75.56000
52919,20060221,75.98000
52919,20060222,76.95000
52919,20060223,76.54000
52919,20060224,76.76000
52919,20060227,77.88000
52919,20060228,77.21000
52919,20060301,77.54000
52919,20060302,77.68000
52919,20060303,77.59000
52919,20060306,77.24000
52919,20060307,77.21000
52919,20060308,77.14000
52919,20060309,77.04000
52919,20060310,77.75000
52919,20060313,77.32000
52919,20060314,78.82000
52919,20060315,78.80000
52919,20060316,77.75000
52919,20060317,77.75000
52919,20060320,78.14000
52919,20060321,76.60000
52919,20060322,77.53000
52919,20060323,77.31000
52919,20060324,77.55000
52919,20060327,78.46000
52919,20060328,77.65000
52919,20060329,78.40000
52919,20060330,78.25000
52919,20060331,78.76000
52919,20060403,79.28000
52919,20060404,80.33000
52919,20060405,79.64000
52919,20060406,79.91000
52919,20060407,78.44000
52919,20060410,78.92000
52919,20060411,77.12000
52919,20060412,77.63000
52919,20060413,78.06000
52919,20060417,78.46000
52919,20060418,79.38000
52919,20060419,79.75000
52919,20060420,80.03000
52919,20060421,80.16000
52919,20060424,79.84000
52919,20060425,78.74000
52919,20060426,78.98000
52919,20060427,78.46000
52919,20060428,76.26000
52919,20060501,73.71000
52919,20060502,75.20000
52919,20060503,74.81000
52919,20060504,74.20000
52919,20060505,76.48000
52919,20060508,75.97000
52919,20060509,77.25000
52919,20060510,76.51000
52919,20060511,74.00000
52919,20060512,72.74000
52919,20060515,72.50000
52919,20060516,72.70000
52919,20060517,70.49000
52919,20060518,70.59000
52919,20060519,71.36000
52919,20060522,70.86000
52919,20060523,69.90000
52919,20060524,70.28000
52919,20060525,71.48000
52919,20060526,72.79000
52919,20060530,71.32000
52919,20060531,72.41000
52919,20060601,72.60000
52919,20060602,73.03000
52919,20060605,71.61000
52919,20060606,70.88000
52919,20060607,70.99000
52919,20060608,70.32000
52919,20060609,71.07000
52919,20060612,68.62000
52919,20060613,65.66000
52919,20060614,65.41000
52919,20060615,67.85000
52919,20060616,67.25000
52919,20060619,66.72000
52919,20060620,66.89000
52919,20060621,67.61000
52919,20060622,67.89000
52919,20060623,68.00000
52919,20060626,68.89000
52919,20060627,67.59000
52919,20060628,67.60000
52919,20060629,70.08000
52919,20060630,69.56000
52919,20060703,71.16000
52919,20060705,70.90000
52919,20060706,71.43000
52919,20060707,71.23000
52919,20060710,71.06000
52919,20060711,70.85000
52919,20060712,69.62000
52919,20060713,68.50000
52919,20060714,67.49000
52919,20060717,68.27000
52919,20060718,67.50000
52919,20060719,69.27000
52919,20060720,70.45000
52919,20060721,69.97000
52919,20060724,71.11000
52919,20060725,71.57000
52919,20060726,70.55000
52919,20060727,70.82000
52919,20060728,72.30000
52919,20060731,72.82000
52919,20060801,72.72000
52919,20060802,71.96000
52919,20060803,72.20000
52919,20060804,72.58000
52919,20060807,72.43000
52919,20060808,72.19000
52919,20060809,71.94000
52919,20060810,73.13000
52919,20060811,72.73000
52919,20060814,72.27000
52919,20060815,74.76000
52919,20060816,75.38000
52919,20060817,75.90000
52919,20060818,76.27000
52919,20060821,75.22000
52919,20060822,75.26000
52919,20060823,75.05000
52919,20060824,74.54000
52919,20060825,74.20000
52919,20060828,74.14000
52919,20060829,72.85000
52919,20060830,73.30000
52919,20060831,73.53000
52919,20060901,73.79000
52919,20060905,74.14000
52919,20060906,73.94000
52919,20060907,73.23000
52919,20060908,72.71000
52919,20060911,72.17000
52919,20060912,73.68000
52919,20060913,75.32000
52919,20060914,76.39000
52919,20060915,77.16000
52919,20060918,77.02000
52919,20060919,77.09000
52919,20060920,77.66000
52919,20060921,77.85000
52919,20060922,78.12000
52919,20060925,78.49000
52919,20060926,79.03000
52919,20060927,78.69000
52919,20060928,79.09000
52919,20060929,78.22000
52919,20061002,78.44000
52919,20061003,79.81000
52919,20061004,81.30000
52919,20061005,81.78000
52919,20061006,81.46000
52919,20061009,81.96000
52919,20061010,82.98000
52919,20061011,82.90000
52919,20061012,83.53000
52919,20061013,83.60000
52919,20061016,84.11000
52919,20061017,84.52000
52919,20061018,84.38000
52919,20061019,83.90000
52919,20061020,84.18000
52919,20061023,85.69000
52919,20061024,86.08000
52919,20061025,85.75000
52919,20061026,87.30000
52919,20061027,86.97000
52919,20061030,87.45000
52919,20061031,87.42000
52919,20061101,85.87000
52919,20061102,86.98000
52919,20061103,86.72000
52919,20061106,88.04000
52919,20061107,88.33000
52919,20061108,89.11000
52919,20061109,87.48000
52919,20061110,89.00000
52919,20061113,89.41000
52919,20061114,89.85000
52919,20061115,90.48000
52919,20061116,91.08000
52919,20061117,90.87000
52919,20061120,90.85000
52919,20061121,91.83000
52919,20061122,92.23000
52919,20061124,92.59000
52919,20061127,89.21000
52919,20061128,89.59000
52919,20061129,89.60000
52919,20061130,87.43000
52919,20061201,86.78000
52919,20061204,89.06000
52919,20061205,89.00000
52919,20061206,89.37000
52919,20061207,89.54000
52919,20061208,90.56000
52919,20061211,90.88000
52919,20061212,90.34000
52919,20061213,89.59000
52919,20061214,90.64000
52919,20061215,91.56000
52919,20061218,91.52000
52919,20061219,90.78000
52919,20061220,91.36000
52919,20061221,91.01000
52919,20061222,90.88000
52919,20061226,92.23000
52919,20061227,93.52000
52919,20061228,93.56000
52919,20061229,93.10000
52919,20070103,93.61000
52919,20070104,92.04000
52919,20070105,92.00000
52919,20070108,93.81000
52919,20070109,93.53000
52919,20070110,94.44000
52919,20070111,96.28000
52919,20070112,97.02000
52919,20070116,96.86000
52919,20070117,96.81000
52919,20070118,95.40000
52919,20070119,95.87000
52919,20070122,96.49000
52919,20070123,95.45000
52919,20070124,97.53000
52919,20070125,95.22000
52919,20070126,94.53000
52919,20070129,92.39000
52919,20070130,92.76000
52919,20070131,93.56000
52919,20070201,94.78000
52919,20070202,95.01000
52919,20070205,94.45000
52919,20070206,93.99000
52919,20070207,94.53000
52919,20070208,94.36000
52919,20070209,92.62000
52919,20070212,91.36000
52919,20070213,92.30000
52919,20070214,93.80000
52919,20070215,93.60000
52919,20070216,92.79000
52919,20070220,92.73000
52919,20070221,92.26000
52919,20070222,91.50000
52919,20070223,89.04000
52919,20070226,86.66000
52919,20070227,83.43000
52919,20070228,83.68000
52919,20070301,83.74000
52919,20070302,82.16000
52919,20070305,79.97000
52919,20070306,82.10000
52919,20070307,82.21000
52919,20070308,83.25000
52919,20070309,82.95000
52919,20070312,83.49000
52919,20070313,79.74000
52919,20070314,79.22000
52919,20070315,80.15000
52919,20070316,79.90000
52919,20070319,81.40000
52919,20070320,82.14000
52919,20070321,85.40000
52919,20070322,85.04000
52919,20070323,85.68000
52919,20070326,85.65000
52919,20070327,83.94000
52919,20070328,82.28000
52919,20070329,81.51000
52919,20070330,81.67000
52919,20070402,82.78000
52919,20070403,85.41000
52919,20070404,85.34000
52919,20070405,86.08000
52919,20070409,86.78000
52919,20070410,86.67000
52919,20070411,85.89000
52919,20070412,85.85000
52919,20070413,86.28000
52919,20070416,89.02000
52919,20070417,89.74000
52919,20070418,90.66000
52919,20070419,90.11000
52919,20070420,92.02000
52919,20070423,91.48000
52919,20070424,90.90000
52919,20070425,91.65000
52919,20070426,91.00000
52919,20070427,90.11000
52919,20070430,90.23000
52919,20070501,90.56000
52919,20070502,91.19000
52919,20070503,92.28000
52919,20070504,92.70000
52919,20070507,92.41000
52919,20070508,91.30000
52919,20070509,92.52000
52919,20070510,91.02000
52919,20070511,93.51000
52919,20070514,92.37000
52919,20070515,91.58000
52919,20070516,92.48000
52919,20070517,92.20000
52919,20070518,94.17000
52919,20070521,93.83000
52919,20070522,94.01000
52919,20070523,93.82000
52919,20070524,92.61000
52919,20070525,91.85000
52919,20070529,93.14000
52919,20070530,92.96000
52919,20070531,92.73000
52919,20070601,93.30000
52919,20070604,91.93000
52919,20070605,91.76000
52919,20070606,90.33000
52919,20070607,87.26000
52919,20070608,88.78000
52919,20070611,88.90000
52919,20070612,87.30000
52919,20070613,89.79000
52919,20070614,90.13000
52919,20070615,90.23000
52919,20070618,90.00000
52919,20070619,90.04000
52919,20070620,87.68000
52919,20070621,87.30000
52919,20070622,84.48000
52919,20070625,83.98000
52919,20070626,84.48000
52919,20070627,86.26000
52919,20070628,86.02000
52919,20070629,83.58000
52919,20070702,83.51000
52919,20070703,84.81000
52919,20070705,83.90000
52919,20070706,84.68000
52919,20070709,85.38000
52919,20070710,82.36000
52919,20070711,83.05000
52919,20070712,85.52000
52919,20070713,86.54000
52919,20070716,87.39000
52919,20070717,86.20000
52919,20070718,83.40000
52919,20070719,82.70000
52919,20070720,80.04000
52919,20070723,80.05000
52919,20070724,77.11000
52919,20070725,78.10000
52919,20070726,75.88000
52919,20070727,75.26000
52919,20070730,76.71000
52919,20070731,74.20000
52919,20070801,73.05000
52919,20070802,72.55000
52919,20070803,70.05000
52919,20070806,74.55000
52919,20070807,75.19000
52919,20070808,78.17000
52919,20070809,74.68000
52919,20070810,74.12000
52919,20070813,73.53000
52919,20070814,71.34000
52919,20070815,68.94000
52919,20070816,71.13000
52919,20070817,76.04000
52919,20070820,74.90000
52919,20070821,76.11000
52919,20070822,76.44000
52919,20070823,75.89000
52919,20070824,76.17000
52919,20070827,74.89000
52919,20070828,72.00000
52919,20070829,73.11000
52919,20070830,72.18000
52919,20070831,73.70000
52919,20070904,75.42000
52919,20070905,74.00000
